t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-01-01T00:00:00Z,2015-11-18T10:19:00Z,all,NA,2018-08-13T21:27:13Z,Ben,Start of dataset.
2016-01-14T16:49:55Z,2016-02-12T21:04:09Z,all,NA,2018-08-13T21:27:13Z,Ben,MIU failure.
2016-01-19T13:00:00Z,2016-01-19T16:30:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad data.
2016-03-11T11:30:00Z,2016-02-13T12:30:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad CO2 cal.  Ch4 looks ok.
2016-04-04T12:06:19Z,2016-04-04T15:38:09Z,all,NA,2018-08-13T21:27:13Z,Ben,Bad calibration following outage.
2016-04-13T21:30:00Z,2016-04-14T19:00:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad Data.
2020-01-01T00:00:01Z,2020-01-07T00:00:01Z,~417.55~1.94,NA,2020-04-15T12:17:00,Ryan,Bad MIU.
2019-10-07T16:00:00Z,2019-10-07T20:00:00Z,all,NA,2021-04-27T21:28:00Z,Ben,Short period between instrument outages
2019-11-20T19:00:00Z,2020-01-01T00:00:00Z,~417.55~1.94,~393.30~1.85,2021-04-27T21:28:00Z,Ben,Tank swapped but not reflected in MIU settings
2019-11-20T19:00:00Z,2020-02-20T00:00:00Z,~484.45~5.06,~473.09~4.17,2021-04-27T21:28:00Z,Ben,Tank swapped but not reflected in MIU settings; Ryan notes have tank concentration incorrect
2021-01-28T21:57:00Z,2021-01-28T22:03:00Z,all,NA,2021-12-23T21:06:00Z,JohnLin,CO2 cal values are too low
2021-02-15T17:59:00Z,2021-02-15T18:05:00Z,all,NA,2021-12-23T21:06:00Z,JohnLin,CO2 cal values are too high
2021-03-22T16:03:00Z,2021-03-23T17:44:00Z,all,NA,2021-12-23T21:06:00Z,JohnLin,CO2 cal values are too low
2021-04-27T19:49:00Z,2022:01:01T00:00:00Z,~400.26~1.89,~402.47~1.87,2021-04-27T22:50:00Z,Ben,Tank 57 swapped for J38 but not reflected in MIU settings
2021-04-27T19:49:00Z,2022:01:01T00:00:00Z,~473.09~4.17,~495.78~4.28,2021-04-27T22:50:00Z,Ben,Tank M39 swapped for J27 but not reflected in MIU settings
2021-06-03T23:09:00Z,2021-06-04T00:24:00Z,all,NA,2021-12-23T21:06:00Z,JohnLin,CO2 cal and ambient values are too low
2022-06-14T21:05:30Z,2022-06-14T21:12:15Z,all,NA,2022-12-01T18:36:00Z,MeganOstlie,Elevated CO2 values corresponding to site visit
