t_start,t_end,ID_old,ID_new,t_added,name,comment
2022-05-16T23:00:00Z,2022-05-31T20:30:00Z,all,NA,2023-01-03T14:58:00Z,MeganOstlie,Had issues getting new licor running - data during this time is suspect
2022-05-17T23:00:00Z,2022-08-03T00:00:00Z,427.99,428.19,2022-08-16T17:56:00Z,MeganOstlie,LTS value updated to x2019
2022-06-13T20:30:00Z,2022-06-13T21:00:00Z,all,NA,2023-01-03T15:02:00Z,MeganOstlie,CO2 spike corresponding to site visit where filter was changed
2022-07-15T04:00:00Z,2022-07-15T20:30:00Z,-4,428.19,2022-08-15T16:40:00Z,MeganOstlie,Missing cal tank value
2022-07-15T04:00:00Z,2022-07-15T20:30:00Z,-3,493.11,2022-08-15T16:41:00Z,MeganOstlie,Missing cal tank value
2022-07-15T04:00:00Z,2022-07-15T20:30:00Z,-2,442.66,2022-08-15T16:42:00Z,MeganOstlie,Missing cal tank value
2022-07-15T04:00:00Z,2022-07-15T20:30:00Z,-1,395.77,2022-08-15T16:43:00Z,MeganOstlie,Missing cal tank value
2023-04-26T15:00:00Z,2023-05-03T16:00:00Z,all,NA,2023-05-05T15:53:00Z,MeganOstlie,Empty N2 caused low readings
2023-05-15T05:46:00Z,2023-05-15T05:48:00Z,all,NA,2023-06-05T18:17:00Z,MeganOstlie,Ambient air reading 0
2023-05-16T19:04:00Z,2023-05-16T19:06:00Z,all,NA,2023-06-05T18:19:00Z,MeganOstlie,CO2 spike corresponding to site visit where inlet was moved
2023-06-02T18:50:00Z,2023-06-02T18:56:30Z,-3,500.29,2023-07-25T19:26:00Z,MeganOstlie,Missing cal tank value
2023-06-02T18:50:00Z,2023-06-02T18:56:30Z,-2,443.00,2023-07-25T19:27:00Z,MeganOstlie,Missing cal tank value
2023-06-02T18:50:00Z,2023-06-02T18:56:30Z,-1,406.10,2023-07-25T19:28:00Z,MeganOstlie,Missing cal tank value
2023-06-11T23:15:50Z,2023-06-12T00:25:00Z,all,NA,2023-07-25T19:29:00Z,MeganOstlie,Ambient and cal values suddenly drop below 300
2023-07-21T14:45:00Z,2023-07-21T15:05:00Z,all,NA,2023-07-25T17:35:00Z,MeganOstlie,CO2 spike corresponding to site visit where anemometer was installed on inlet tower
2023-07-25T15:00:00Z,2023-07-25T15:30:00Z,all,NA,2023-08-01T21:09:00Z,MeganOstlie,CO2 spike corresponding to site visit where inlet tower was briefly taken down
2023-08-11T20:45:00Z,2023-08-11T21:00:00Z,all,NA,2023-08-15T15:07:00Z,MeganOstlie,CO2 spike corresponding to site visit where inlet tower was briefly taken down
2023-10-18T16:37:20Z,2023-10-18T16:38:35Z,all,NA,2023-10-31T15:46:00Z,MeganOstlie,CO2 values suddenly drop to 150ppm
2023-11-11T13:48:00Z,2023-11-11T13:49:00Z,all,NA,2023-11-15T19:50:00Z,MeganOstlie,CO2 values suddenly drop then spike
2023-11-15T00:39:30Z,2023-11-15T00:40:40Z,all,NA,2023-11-21T16:30:00Z,MeganOstlie,CO2 values suddenly drop then spike
2023-11-25T21:52:30Z,2023-11-25T21:53:35Z,all,NA,2023-11-28T16:42:00Z,MeganOstlie,CO2 values suddenly drop then spike
2023-12-15T19:13:00Z,2023-12-15T19:15:35Z,all,NA,2023-12-19T21:06:00Z,MeganOstlie,CO2 values suddenly drop then spike
2024-02-29T00:42:10Z,2024-02-29T00:43:10Z,all,NA,2024-03-12T14:37:00Z,MeganOstlie,CO2 values suddenly drop then spike
2024-03-02T13:49:40Z,2024-03-02T13:50:40Z,all,NA,2024-03-12T14:38:00Z,MeganOstlie,CO2 values suddenly drop then spike
2024-03-26T21:00:00Z,2024-03-27T20:30:00Z,-4,415.96,2024-04-02T16:47:00Z,MeganOstlie,Missing cal tank value
2024-03-26T21:00:00Z,2024-03-27T20:30:00Z,-3,499.77,2024-04-02T16:48:00Z,MeganOstlie,Missing cal tank value
2024-03-26T21:00:00Z,2024-03-27T20:30:00Z,-2,448.2,2024-04-02T16:49:00Z,MeganOstlie,Missing cal tank value
2024-03-26T21:00:00Z,2024-03-27T20:30:00Z,-1,404.28,2024-04-02T16:49:00Z,MeganOstlie,Missing cal tank value
2024-04-03T17:08:00Z,2024-04-03T17:10:00Z,-1,404.28,2024-05-13T16:38:00Z,MeganOstlie,Missing cal tank value
2024-04-09T13:30:00Z,2024-04-22T16:30:00Z,-4,415.96,2024-04-23T16:42:00Z,MeganOstlie,Missing cal tank value
2024-04-09T13:30:00Z,2024-04-22T16:30:00Z,-3,499.77,2024-04-23T16:42:00Z,MeganOstlie,Missing cal tank value
2024-04-09T13:30:00Z,2024-04-22T16:30:00Z,-2,448.2,2024-04-23T16:42:00Z,MeganOstlie,Missing cal tank value
2024-04-09T13:30:00Z,2024-04-22T16:30:00Z,-1,404.28,2024-04-23T16:42:00Z,MeganOstlie,Missing cal tank value
2024-05-06T17:00:00Z,2024-05-06T17:30:00Z,-3,499.77,2024-05-09T14:50:00Z,MeganOstlie,Missing cal tank value
2024-05-06T17:00:00Z,2024-05-06T17:30:00Z,-2,448.2,2024-05-09T14:50:00Z,MeganOstlie,Missing cal tank value
2024-05-06T17:00:00Z,2024-05-06T17:30:00Z,-1,404.28,2024-05-09T14:50:00Z,MeganOstlie,Missing cal tank value
2024-05-14T16:40:00Z,2024-05-14T17:38:00Z,all,NA,2024-05-15T18:21:00Z,MeganOstlie,On site maintenance
