t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-01-01T00:00:00Z,2015-04-10T16:00:00Z,all,NA,2018-08-13T21:27:13Z,Ben,Data from before instrument was installed.
2015-04-17T14:00:00Z,2015-04-18T12:01:00Z,all,NA,2018-08-13T21:27:13Z,Ben,On site maintenance. Tanks installed. MIU later corrected.
2015-04-23T02:00:00Z,2015-04-23T18:06:30Z,~438.55~1.889,NA,2018-08-13T21:27:13Z,Ben,Flush valve was not changed on site. Fixed remotely.
2015-12-05T17:30:00Z,2015-12-09T09:00:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad cal again.
2016-02-21T01:06:00Z,2016-02-27T08:00:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad cal.
2016-04-14T12:00:00Z,2016-04-26T10:00:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad data.
2015-04-01T00:00:00Z,2015-04-24T16:40:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,All the data up to this point is poorly calibrated and messy
2015-06-04T20:29:00Z,2015-06-04T20:35:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad cal surrounded by good cals.  Probably a reboot ringdown issue
2015-06-24T15:45:00Z,2015-06-24T15:56:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad cal
2015-06-29T20:23:00Z,2015-06-29T20:25:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,one bad cal point removed
2015-07-28T16:45:00Z,2015-07-28T17:25:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad cals probably due to ring down issue
2015-08-25T18:16:00Z,2015-08-25T18:20:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,one bad cal point removed exact same as point removed on june 29
2015-09-04T16:20:22Z,2015-09-04T16:33:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad atmospheric obs. very high. probably tech contamination while on site
2015-09-17T21:04:00Z,2015-09-17T21:06:00Z,all,NA,2018-08-13T21:27:13Z,Ryan,Bad atmospheric obs. very low.
