t_start,t_end,miu_old,miu_new,t_added,name,comment
2016-07-30T14:57:00Z,2016-08-02T22:23:00Z,all,NA,2018-06-21T22:33:07Z,Ben,Placeholder
2016-08-02T22:23:00Z,2016-10-10T16:00:00Z,all,NA,2018-06-21T22:33:07Z,Doug,Bad Li-cor
2016-10-10T15:00:00Z,2016-10-13T13:00:00Z,-1,NA,2018-06-21T22:33:07Z,Ryan,Removing a -1
2016-10-18T00:04:40Z,2016-10-18T00:04:40Z,453.92,NA,2018-06-21T22:33:07Z,Doug,not sure
2016-10-29T00:01:40Z,2016-10-29T00:02:30Z,all,NA,2018-06-21T22:33:07Z,Ryan,Bad Cal from NTP
2016-11-06T00:00:00Z,2016-11-06T00:00:04Z,392.18,NA,2018-06-21T22:33:07Z,Doug,not sure
2016-11-06T00:02:20Z,2016-11-06T00:02:20Z,392.18,NA,2018-06-21T22:33:07Z,Doug,bad random data
2016-11-15T00:02:20Z,2016-11-15T00:02:20Z,392.18,NA,2018-06-21T22:33:07Z,Doug,bad random data
2016-10-10T16:00:20Z,2016-10-10T17:30:00Z,all,NA,2018-06-21T22:33:07Z,Doug,bad random data
2016-10-10T00:00:00Z,2016-10-10T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-11T00:00:00Z,2016-10-11T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-12T00:00:00Z,2016-10-12T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-13T00:00:00Z,2016-10-13T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-14T00:00:00Z,2016-10-14T00:09:20Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-15T00:00:00Z,2016-10-15T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-16T00:00:00Z,2016-10-16T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-17T00:00:00Z,2016-10-17T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-18T00:00:00Z,2016-10-18T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-19T00:00:00Z,2016-10-19T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-20T00:00:00Z,2016-10-20T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-21T00:00:00Z,2016-10-21T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-22T00:00:00Z,2016-10-22T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-23T00:00:00Z,2016-10-23T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
2016-10-24T00:00:00Z,2016-10-24T00:09:00Z,all,NA,2018-06-21T22:33:07Z,Doug,NTP issue with cr1000
