t_start,t_end,miu_old,miu_new,t_added,name,comment
2019-10-26T12:00:00Z,2019-11-07T20:00:00Z,all,NA,2021-04-10T00:02:00Z,JohnLin,measured CO2 (ambient + cal tanks) near 0 ppm; measuring N2 tank instead?
2020-03-07T04:00:00Z,2020-06-14T18:00:00Z,all,NA,2021-04-08T02:03:00Z,JohnLin,missing accurate tank values and tank valves not opening properly
2020-07-30T15:55:00Z,2020-09-21T20:00:00Z,-1,393.85,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-07-30T15:55:00Z,2020-09-21T20:00:00Z,-2,462,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-07-30T15:55:00Z,2020-09-21T20:00:00Z,-3,619.37,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-07-30T15:55:00Z,2020-09-21T20:00:00Z,-4,427.79,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-10-21T18:00:00Z,2020-11-16T18:00:00Z,-1,393.85,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-10-21T18:00:00Z,2020-11-16T18:00:00Z,-2,462,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-10-21T18:00:00Z,2020-11-16T18:00:00Z,-3,619.37,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-10-21T18:00:00Z,2020-11-16T18:00:00Z,-4,427.79,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-12-14T18:00:00Z,2020-12-31T23:59:59Z,-1,393.85,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-12-14T18:00:00Z,2020-12-31T23:59:59Z,-2,462,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-12-14T18:00:00Z,2020-12-31T23:59:59Z,-3,619.37,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2020-12-14T18:00:00Z,2020-12-31T23:59:59Z,-4,427.79,2021-04-09T03:40:00Z,JohnLin,logger forgot tank value?  
2021-03-13T10:00:00Z,2021-04-01T17:30:00Z,all,NA,2021-04-09T23:50:00Z,JohnLin,cal tank values track ambient CO2 values
