t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-05-01T00:00:00Z,2015-07-28T00:00:00Z,all,NA,2018-03-22T04:23:08Z,Ben,Start of proper data.
2015-09-15T00:00:00Z,2015-09-28T19:20:00Z,all,NA,2018-03-22T04:23:08Z,Ben,No nitrogen flow.
2016-01-25T23:55:00Z,2016-01-26T00:30:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,Bad calibration
2016-06-17T20:40:00Z,2016-06-17T22:05:00Z,all,NA,2018-03-22T04:23:08Z,Doug,fixing bad H20 cal
2016-05-30T16:00:00Z,2016-06-17T20:40:00Z,all,NA,2018-03-22T04:23:08Z,Doug,failing clippard valve on sample
2015-10-03T10:11:00Z,2015-10-05T23:59:50Z,all,NA,2018-03-22T04:23:08Z,Nick,Bad Cals affecting data.
2015-10-08T16:11:00Z,2015-10-20T19:59:50Z,all,NA,2018-03-22T04:23:08Z,Nick,Cals fall on a daily cycle then go back to max value.
2015-10-30T23:59:50Z,2015-10-31T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2015-10-30T23:59:50Z,2015-10-31T00:11:00Z,385.29,NA,2018-03-22T04:23:08Z,Nick,Cal tank one is off.
2015-12-11T23:59:50Z,2015-12-12T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2015-12-24T23:59:50Z,2015-12-25T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2015-12-29T23:11:00Z,2015-12-12T01:00:00Z,all,NA,2018-03-22T04:23:08Z,Nick,Three cals are off.
2016-01-03T23:59:50Z,2016-01-04T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-02-04T23:59:50Z,2016-02-05T00:11:00Z,385.29,NA,2018-03-22T04:23:08Z,Nick,Cal Tank one is off.
2016-02-06T23:59:50Z,2016-02-07T00:11:00Z,385.29,NA,2018-03-22T04:23:08Z,Nick,Cal Tank one is off.
2015-08-29T20:11:00Z,2015-08-30T03:59:50Z,all,NA,2018-03-22T04:23:08Z,Nick,Jump in cals.
2016-02-09T23:59:50Z,2016-02-10T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-02-10T23:59:50Z,2016-02-11T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-02-10T23:59:50Z,2016-02-11T00:11:00Z,385.29,NA,2018-03-22T04:23:08Z,Nick,Cal is off.
2016-02-11T23:59:50Z,2016-02-12T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-02-11T23:59:50Z,2016-02-12T00:11:00Z,402.18,NA,2018-03-22T04:23:08Z,Nick,Cal is off.
2016-02-18T23:59:50Z,2016-02-19T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-03-04T23:59:50Z,2016-03-05T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-03-06T23:59:50Z,2016-03-07T00:11:00Z,0,NA,2018-03-22T04:23:08Z,Nick,Zero is off.
2016-03-06T23:59:50Z,2016-03-07T00:11:00Z,402.18,NA,2018-03-22T04:23:08Z,Nick,Cal is off.
2016-03-12T22:11:00Z,2016-03-13T02:00:00Z,all,NA,2018-03-22T04:23:08Z,Nick,All but one cal are off.
2016-03-13T16:11:00Z,2016-03-15T04:00:00Z,all,NA,2018-03-22T04:23:08Z,Nick,Atmos data flatlines for a day and then proceeds to jump around cals.
2016-03-19T22:11:00Z,2016-03-20T02:00:00Z,all,NA,2018-03-22T04:23:08Z,Nick,All but one cal are off.
2017-02-19T10:00:00Z,2017-02-24T00:30:00Z,433.97,NA,2018-03-22T04:23:08Z,Doug,Bad cal flow.
2017-03-18T23:00:00Z,2017-04-04T20:00:00Z,402.18,NA,2018-03-22T04:23:08Z,Doug,Bad cal flow.
2017-06-30T23:00:00Z,2017-07-07T17:00:00Z,599.21,NA,2018-03-22T04:23:08Z,Doug,Tank was turned off.
2017-07-01T00:00:00Z,2017-07-21T00:00:00Z,429.67,429.57,2018-03-22T04:23:08Z,Ryan,The LTS tank was entered incorrectly.
2017-01-09T21:46:00Z,2017-01-10T18:32:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,Stuck Clippard on atmosphere line.
2017-04-19T01:25:00Z,2017-04-19T01:25:40Z,all,NA,2018-03-22T04:23:08Z,Ryan,High point what Logan M would call a flyer.
2017-04-21T23:59:00Z,2017-04-22T00:10:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,LTS install caused issue with all standard tanks.
2017-04-22T23:59:00Z,2017-04-23T00:10:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,LTS install caused issue with all standard tanks.
2017-04-23T23:59:00Z,2017-04-24T00:10:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,LTS install caused issue with all standard tanks.
2017-04-24T23:59:00Z,2017-04-25T00:10:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,LTS install caused issue with all standard tanks.
2017-04-25T15:50:00Z,2017-04-25T16:03:00Z,all,NA,2018-03-22T04:23:08Z,Ryan,Standard inputed as -1 and -2 but reset after so not needed to save.
