t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-03-24T15:58:00Z,2015-03-25T00:08:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Lost calibration after installation.
2015-04-17T13:55:00Z,2015-04-17T14:03:33Z,all,NA,2018-08-13T21:27:14Z,Ben,On site maintenance.
2015-09-04T07:45:00Z,2015-09-04T09:00:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,On site maintenance.
2015-07-25T18:42:00Z,2015-10-06T00:00:00Z,~420.55~1.893,NA,2018-08-13T21:27:14Z,Ben,Empty tank.
2015-12-01T03:45:00Z,2015-12-01T04:00:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Strange decrease in CO2.
2016-01-26T22:45:00Z,2016-02-01T05:58:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,decrease in CO2 but CH4 looks reasonable.
2015-03-01T01:00:00Z,2015-04-17T20:02:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,All data prior to this is uncalibrated
2015-06-12T16:23:00Z,2015-06-12T16:30:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2015-09-04T13:55:00Z,2015-09-04T14:23:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2015-10-07T19:32:00Z,2015-10-08T19:51:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Data loss due to bad ring down
2015-10-27T16:15:00Z,2015-10-27T17:06:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad data after reboot
2015-11-09T19:33:00Z,2015-11-09T19:37:35Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal after reboot
2015-11-24T16:26:35Z,2015-11-24T16:27:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal after reboot
2015-12-16T22:58:00Z,2015-12-29T07:00:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Total junk CO2 data due to bad ring down BUT CH4 STILL GOOD
2016-02-01T05:58:00Z,2016-02-14T18:55:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Total junk CO2 data due to bad ring down BUT CH4 STILL GOOD
2016-02-25T00:55:00Z,2016-02-25T00:55:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-03-17T19:47:25Z,2016-03-17T19:51:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-04-21T23:31:00Z,2016-04-21T23:32:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-05-09T21:55:30Z,2016-05-09T22:00:15Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-05-12T09:41:09Z,2016-05-19T18:00:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad ring down both CO2 and CH4 data bad
