t_start,t_end,ID_old,ID_new,t_added,name,comment
2023-09-06T18:00:00Z,2023-09-06T20:00:00Z,all,NA,2023-09-11T15:00:00Z,JohnLin,swap out LI6262 and install LI7000 at RPK
2023-09-12T00:53:45Z,2023-09-12T00:54:55Z,all,NA,2023-09-18T20:13:00Z,MeganOstlie,CO2 values drop to around 300 ppm
2023-09-12T05:30:00Z,2023-09-12T05:32:35Z,all,NA,2023-09-18T20:15:00Z,MeganOstlie,CO2 values drop to around 300 ppm
2023-09-13T05:29:40Z,2023-09-13T05:32:35Z,all,NA,2023-09-26T20:32:00Z,MeganOstlie,CO2 values drop to around 300 ppm
2023-11-02T18:26:00Z,2023-11-02T18:26:50Z,all,NA,2023-11-07T17:14:00Z,MeganOstlie,CO2 values drop to around 300 ppm
2023-11-20T18:00:00Z,2023-12-06T18:00:00Z,406.53,401.64,2023-12-06T19:30:00Z,MeganOstlie,Swapped out tank but was unable to change value in logger
2023-11-20T18:00:00Z,2023-12-06T18:00:00Z,625.17,492.20,2023-12-06T19:30:00Z,MeganOstlie,Swapped out tank but was unable to change value in logger
2024-02-05T16:33:00Z,2024-02-05T16:33:45Z,all,NA,2024-02-07T16:33:00Z,MeganOstlie,CO2 values drop to around 300 ppm
2024-03-02T23:15:10Z,2024-03-03T00:25:10Z,all,NA,2024-03-12T14:47:00Z,MeganOstlie,Ambient and tank values all drop to below 300 ppm
2024-05-15T16:50:00Z,2024-05-15T17:20:00Z,all,NA,2024-05-20T22:02:00Z,MeganOstlie,On site maintenance
2024-06-10T00:10:00Z,2024-06-10T00:13:00Z,all,NA,2024-06-19T17:02:00Z,MeganOstlie,CO2 values quickly drop then spike-likely a power bump
2024-07-30T04:31:50Z,2024-07-30T04:35:10Z,all,NA,2024-08-09T15:26:00Z,MeganOstlie,CO2 values quickly drop-likely a power bump
2025-02-09T09:59:00Z,2025-02-09T16:05:00Z,all,NA,2025-02-12T20:54:00Z,MeganOstlie,CO2 and tank values are unreasonalbe-unsure what caused this
