t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-09-25T00:00:00Z,2015-09-30T17:00:00Z,-1,406.58,2018-07-26T16:47:09Z,Ryan,replace std values
2015-10-01T00:00:00Z,2016-07-11T18:00:00Z,0,NA,2018-07-26T16:47:09Z,Ryan,Removing zeros from cal data
2015-10-26T19:00:00Z,2015-10-27T23:59:50Z,all,NA,2018-07-26T16:47:09Z,Nick,Data is nonsense.
2016-01-13T22:11:00Z,2016-01-16T06:23:10Z,all,NA,2018-07-26T16:47:09Z,Nick,Temporary jump in cals and measurements.
2016-01-21T22:11:00Z,2016-01-23T00:11:30Z,all,NA,2018-07-26T16:47:09Z,Nick,Temporary jump in cals and measurements.
2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,499.89,499.84,2018-07-26T16:47:09Z,Ben,incorrect std value in dat table
2016-07-11T17:58:00Z,2016-07-11T17:59:00Z,406.65,NA,2018-07-26T16:47:09Z,Ryan,Removing negative 1 value
2016-08-16T18:08:00Z,2016-08-16T20:00:00Z,all,NA,2018-07-26T16:47:09Z,Ben,Step function in cal measurements
2016-11-15T00:00:00Z,2016-11-15T20:30:00Z,499.65,499.84,2018-07-26T16:47:09Z,Doug,Fixing wrong entry
2017-03-05T00:00:00Z,2017-03-05T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-06T00:00:00Z,2017-03-06T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-07T00:00:00Z,2017-03-07T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-08T00:00:00Z,2017-03-08T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-09T00:00:00Z,2017-03-09T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-10T00:00:00Z,2017-03-10T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-11T00:00:00Z,2017-03-11T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-12T00:00:00Z,2017-03-12T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-13T00:00:00Z,2017-03-13T00:08:30Z,all,NA,2018-07-26T16:47:09Z,Doug,NTP issue
2017-03-06T23:59:30Z,2017-03-07T00:11:00Z,all,NA,2018-07-26T16:47:09Z,Ryan,Strange downward dip
2017-03-30T22:55:00Z,2017-03-30T23:10:00Z,-1,NA,2018-07-26T16:47:09Z,Ryan,Messy cal period with bad values saved in data file
2017-03-30T22:55:00Z,2017-03-30T23:10:00Z,519.77,NA,2018-07-26T16:47:09Z,Ryan,Messy cal period with bad values saved in data file
2017-03-28T01:00:00Z,2017-03-31T05:00:00Z,499.84,NA,2018-07-26T16:47:09Z,Ryan,Either bad cal tank or clippard problem
2017-03-09T17:59:50Z,2017-03-09T18:36:10Z,all,NA,2018-07-26T16:47:09Z,Ryan,Multiple cals executed with errors
2017-05-25T23:59:40Z,2017-05-26T00:09:00Z,406.65,NA,2018-07-26T16:47:09Z,Ryan,Bad cal
2017-05-30T23:47:00Z,2017-05-30T23:53:30Z,all,NA,2018-07-26T16:47:09Z,Ryan,Bad cal followed by good cal
2017-06-16T20:50:00Z,2017-06-16T21:04:35Z,all,NA,2018-07-26T16:47:09Z,Ryan,Strange cal
2017-06-16T20:15:00Z,2017-06-29T21:04:00Z,431.88,431.38,2018-07-26T16:47:09Z,Ryan,cal value input worong
2017-06-29T20:15:00Z,2017-07-06T20:26:00Z,436.84,NA,2018-07-26T16:47:09Z,Ryan,LTS issue when first installed
2017-07-06T00:00:01Z,2017-07-16T22:00:00Z,436.84,NA,2018-07-26T16:47:09Z,Ryan,Removing first 10 LTS check tank
2017-07-18T21:23:10Z,2017-07-18T21:24:10Z,-1,389.61,2018-07-26T16:47:09Z,Ryan,Fixing negative 1 value
2017-11-07T21:39:00Z,2017-11-07T21:48:00Z,389.63,NA,2018-07-26T16:47:09Z,Ryan,Bad cal
2018-01-03T23:59:50Z,2018-01-04T00:04:10Z,389.63,NA,2018-07-26T16:47:09Z,Ryan,Bad cal
2018-01-22T15:00:00Z,2018-02-05T21:33:00Z,all,NA,2018-07-26T16:47:09Z,Ryan,Power on MF controller off
2018-01-18T23:59:50Z,2018-01-19T00:04:10Z,389.63,NA,2018-07-26T16:47:09Z,Ryan,Bad cal
