t_start,t_end,ID_old,ID_new,t_added,name,comment
2019-01-18T17:56:51Z,2019-01-18T19:38:37Z,all,NA,2022-01-04T22:55:44Z,Logan,Step change
2019-01-21T00:19:58Z,2019-01-21T03:11:26Z,all,NA,2022-01-04T22:56:13Z,Logan,Strange step change
2019-03-01T22:02:45Z,2019-03-02T03:06:13Z,all,NA,2022-01-04T23:04:11Z,Logan,Tech on site
2019-04-19T16:34:28Z,2019-04-19T18:41:44Z,all,NA,2022-01-04T23:08:24Z,Logan,Tech on site
2019-06-26T16:50:33Z,2019-06-26T17:55:30Z,all,NA,2022-01-04T23:14:35Z,Logan,Tech on site
2019-08-12T20:41:42Z,2019-08-12T20:43:32Z,all,NA,2022-01-05T01:00:14Z,Logan,Spike in lat
2019-10-01T19:01:00Z,2019-10-01T20:29:32Z,all,NA,2022-01-05T01:13:49Z,Logan,Tech on site
2019-10-25T17:15:21Z,2019-10-25T18:05:52Z,all,NA,2022-01-05T01:14:12Z,Logan,Spike in co2 and ch4
2019-12-19T17:09:22Z,2019-12-19T17:24:30Z,all,NA,2022-01-05T01:53:49Z,Logan,Tech on site
2020-01-20T19:51:01Z,2020-01-21T11:42:39Z,all,NA,2022-01-04T00:34:01Z,Logan,Bad data. Low spikes and cal gas leakage
2020-04-26T02:14:05Z,2020-04-26T03:03:08Z,all,NA,2022-01-04T17:29:31Z,Logan,Cal gas leakage
2020-04-29T19:14:37Z,2020-04-29T19:49:47Z,all,NA,2022-01-04T17:27:37Z,Logan,Cal gas leakage
2020-04-30T17:02:57Z,2020-04-30T18:02:30Z,all,NA,2022-01-04T17:24:03Z,Logan,Cal gas leakage
2020-04-30T19:26:03Z,2020-04-30T19:31:37Z,all,NA,2022-01-04T17:24:20Z,Logan,Low spikes
2020-04-30T21:45:16Z,2020-04-30T22:46:33Z,all,NA,2022-01-04T17:25:08Z,Logan,Cal gas leakage
2020-05-04T20:03:29Z,2020-05-04T23:10:28Z,all,NA,2022-01-04T17:33:39Z,Logan,Low spike
2020-05-05T19:56:26Z,2020-05-05T20:03:05Z,all,NA,2022-01-04T17:38:38Z,Logan,Cal gas leakage
2020-05-08T00:51:37Z,2020-05-08T01:03:38Z,all,NA,2022-01-04T17:34:39Z,Logan,Cal gas leakage
2020-05-16T22:39:04Z,2020-05-16T23:05:21Z,all,NA,2022-01-04T17:35:45Z,Logan,Cal gas leakage
2020-05-17T20:12:24Z,2020-05-17T21:02:57Z,all,NA,2022-01-04T17:36:14Z,Logan,Cal gas leakage
2020-05-18T22:44:10Z,2020-05-19T18:00:00Z,all,NA,2022-01-04T17:36:37Z,Logan,Concentrations biased low
2020-07-22T13:10:02Z,2020-07-22T14:02:54Z,all,NA,2022-01-04T21:52:19Z,Logan,Cal gas leakage
2020-07-22T16:30:33Z,2020-07-22T16:44:13Z,all,NA,2022-01-04T21:52:35Z,Logan,Cal gas leakage
2020-07-22T18:14:49Z,2020-07-22T18:28:23Z,all,NA,2022-01-04T21:53:01Z,Logan,Cal gas leakage
2020-07-22T22:41:53Z,2020-07-22T23:03:06Z,all,NA,2022-01-04T21:53:17Z,Logan,Cal gas leakage
2020-07-22T23:11:21Z,2020-07-23T00:02:39Z,all,NA,2022-01-04T21:53:26Z,Logan,Cal gas leakage
2020-07-23T14:53:15Z,2020-07-23T15:03:13Z,all,NA,2022-01-04T21:54:18Z,Logan,Cal gas leakage
2020-07-23T16:26:27Z,2020-07-23T16:45:30Z,all,NA,2022-01-04T21:54:43Z,Logan,Cal gas leakage
2020-07-23T17:14:04Z,2020-07-23T18:03:02Z,all,NA,2022-01-04T21:54:57Z,Logan,Cal gas leakage
2020-07-23T18:25:31Z,2020-07-23T19:02:15Z,all,NA,2022-01-04T21:55:13Z,Logan,Cal gas leakage
2020-07-23T21:41:45Z,2020-07-23T22:01:35Z,all,NA,2022-01-04T21:55:40Z,Logan,Cal gas leakage
2020-07-23T22:31:20Z,2020-07-23T22:38:52Z,all,NA,2022-01-04T21:55:53Z,Logan,Cal gas leakage
2020-07-23T23:13:47Z,2020-07-24T01:01:18Z,all,NA,2022-01-04T21:56:12Z,Logan,Cal gas leakage
2020-07-24T01:29:33Z,2020-07-24T02:02:44Z,all,NA,2022-01-04T21:56:44Z,Logan,Cal gas leakage
2020-07-24T02:20:33Z,2020-07-24T03:04:15Z,all,NA,2022-01-04T21:56:52Z,Logan,Cal gas leakage
2020-07-24T04:23:33Z,2020-07-24T05:01:15Z,all,NA,2022-01-04T21:57:01Z,Logan,Cal gas leakage
2020-07-24T05:44:29Z,2020-07-24T06:04:43Z,all,NA,2022-01-04T21:57:09Z,Logan,Cal gas leakage
2020-07-25T15:47:01Z,2020-07-25T16:02:50Z,all,NA,2022-01-04T21:57:52Z,Logan,Cal gas leakage
2020-07-25T17:52:04Z,2020-07-25T18:02:50Z,all,NA,2022-01-04T21:58:12Z,Logan,Cal gas leakage
2020-07-26T00:56:11Z,2020-07-26T01:02:17Z,all,NA,2022-01-04T21:58:34Z,Logan,Cal gas leakage
2020-07-26T04:40:36Z,2020-07-26T05:02:45Z,all,NA,2022-01-04T21:58:46Z,Logan,Cal gas leakage
2020-07-26T06:17:34Z,2020-07-26T07:02:43Z,all,NA,2022-01-04T21:58:59Z,Logan,Cal gas leakage
2020-07-26T13:47:43Z,2020-07-26T14:02:59Z,all,NA,2022-01-04T21:59:20Z,Logan,Cal gas leakage
2020-07-26T15:47:43Z,2020-07-26T16:02:59Z,all,NA,2022-01-04T21:59:24Z,Logan,Cal gas leakage
2020-07-26T17:07:24Z,2020-07-26T17:52:54Z,all,NA,2022-01-04T21:59:35Z,Logan,Cal gas leakage
2020-07-26T18:19:28Z,2020-07-26T19:04:01Z,all,NA,2022-01-04T21:59:43Z,Logan,Cal gas leakage
2020-07-26T22:38:39Z,2020-07-26T23:02:44Z,all,NA,2022-01-04T22:00:02Z,Logan,Cal gas leakage
2020-07-27T01:01:35Z,2020-07-27T01:07:03Z,all,NA,2022-01-04T22:00:14Z,Logan,Cal gas leakage
