t_start,t_end,ID_old,ID_new,t_added,name,comment
2024-02-07T02:04:00Z,2024-02-07T03:50:00Z,all,NA,2025-10-02T07:00:00Z,JamesM,zeros
2024-02-13T18:14:00Z,2024-02-13T18:18:00Z,all,NA,2025-10-02T07:07:00Z,JamesM,zeros
2024-03-02T02:22:00Z,2024-03-02T02:23:00Z,all,NA,2025-10-02T07:52:00Z,JamesM,zeros
2024-03-07T20:30:00Z,2024-03-07T21:35:00Z,all,NA,2025-10-02T08:01:00Z,JamesM,zeros
2024-03-12T17:56:00Z,2024-03-12T18:15:00Z,all,NA,2025-10-02T08:03:00Z,JamesM,zeros
2024-09-09T11:45:00Z,2024-09-19T19:19:00Z,all,NA,2024-09-19T20:43:00Z,JamesM,pump failing
2024-09-23T09:35:00Z,2024-09-23T09:52:00Z,all,NA,2025-10-02T08:07:00Z,JamesM,zeros
2024-09-25T06:37:00Z,2024-09-25T07:02:00Z,all,NA,2025-10-02T08:09:00Z,JamesM,zeros
2024-09-30T20:20:00Z,2024-09-30T20:25:00Z,all,NA,2025-10-02T08:12:00Z,JamesM,zeros
2024-10-10T09:35:00Z,2024-10-10T09:36:00Z,all,NA,2025-10-02T08:15:00Z,JamesM,zeros
2024-10-22T06:54:00Z,2024-10-22T06:55:00Z,all,NA,2025-10-02T08:18:00Z,JamesM,zeros
2024-11-05T11:41:00Z,2024-11-05T12:35:00Z,all,NA,2025-10-02T08:19:00Z,JamesM,zeros
2024-12-15T04:46:00Z,2024-12-15T04:51:00Z,all,NA,2025-10-02T08:23:00Z,JamesM,zeros
2024-12-22T22:03:00Z,2024-12-22T22:08:00Z,all,NA,2025-10-02T08:26:00Z,JamesM,zeros
2025-08-28T15:50:00Z,2025-09-02T19:25:00Z,all,NA,2025-09-02T23:11:00Z,JamesM,LGR 15-0077 is providing junk measurements up to -14 Billion
