t_start,t_end,ID_old,ID_new,t_added,name,comment
2016-02-25T20:17:25,2016-02-26T15:21:15,all,behind,now,JamesM,pi time is behind
2016-09-03T09:18:39,2016-09-06T22:33:59,all,behind,now,JamesM,pi time is behind
2016-12-09T05:30:37,2016-12-11T00:00:00,all,behind,now,JamesM,pi time is behind - more after
2016-12-14T00:00:00,2017-01-03T03:32:58,all,ahead,now,JamesM,pi time is ahead
2017-01-06T22:30:30,2017-01-10T23:59:59,all,behind,now,JamesM,pi time is behind
2017-01-18T18:47:53,2017-01-20T00:00:01,all,behind,now,JamesM,pi time is behind - more after
2017-01-21T22:56:08,2017-01-21T22:56:09,all,drop,now,JamesM,2017-03-21 has single row with jan 21 date
2017-01-31T23:59:59,2017-02-19T00:00:01,all,behind,now,JamesM,pi time is behind - not very specific
2017-04-18T23:59:59,2017-04-30T17:52:45,all,ahead,now,JamesM,pi time is ahead - more before
2020-12-28T23:38:45,2020-12-29T01:08:22,all,behind,now,JamesM,pi time is behind
2021-08-13T23:54:31,2021-08-14T00:00:00,all,behind,now,JamesM,pi time is behind
2021-10-13T20:17:14,2021-10-14T05:14:12,all,behind,now,JamesM,pi time is behind
2021-10-28T07:16:19,2021-10-31T02:47:32,all,behind,now,JamesM,pi time is behind
2022-01-11T23:08:34,2022-01-12T02:55:30,all,behind,now,JamesM,pi time is behind
2022-03-06T06:17:00,2022-03-07T18:24:14,all,NA,now,JamesM,not sure which day this belongs to
2022-05-06T18:46:14,2022-05-07T03:19:42,all,behind,now,JamesM,pi time is behind
2022-05-25T14:02:00,2022-05-26T03:06:45,all,behind,now,JamesM,pi time is behind
2022-06-09T20:49:00,2022-06-11T22:31:30,all,behind,now,JamesM,pi time is behind
2022-06-25T19:17:00,2022-06-27T17:27:05,all,behind,now,JamesM,pi time is behind
2022-08-12T23:59:07,2022-08-13T00:04:28,all,behind,now,JamesM,pi time is behind
2022-10-03T18:17:30,2022-10-04T18:37:17,all,behind,now,JamesM,pi time is behind
2022-11-16T22:05:13,2022-11-17T03:13:15,all,behind,now,JamesM,pi time is behind
2022-12-02T20:17:31,2022-12-03T01:29:25,all,behind,now,JamesM,pi time is behind
2023-01-08T18:23:34,2023-06-08T17:23:20,all,NA,now,JamesM,ethernet not plugged in(no ntp sync) - off by ~18 days initially
2023-09-06T23:50:56,2023-09-07T00:00:00,all,behind,now,JamesM,pi time is behind
2023-09-08T23:57:58,2023-09-09T00:16:58,all,behind,now,JamesM,pi time is behind
