t_start,t_end,ID_old,ID_new,t_added,name,comment
2014-01-01T00:00:00Z,2014-09-10T15:19:00Z,all,NA,2018-08-13T21:27:14Z,Rayn,All data prior to this is junk
2014-12-01T00:00:00Z,2014-12-19T00:00:00Z,V:3 639.48,NA,2018-08-13T21:27:14Z,Ben,Empty cal tank
2014-08-10T15:19:00Z,2015-01-12T19:11:30Z,V:5 0.00,NA,2018-08-13T21:27:14Z,Ryan,Removing all zeros in the dataset due to the problems lgr have measring zero with their autoscan feature
2014-12-04T21:43:00Z,2014-12-04T22:40:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Bad Cal.
2014-12-04T22:35:35Z,2014-12-04T22:40:41Z,all,NA,2018-08-13T21:27:14Z,Ryan,Strange cal before a good cal
2015-01-20T18:18:00Z,2015-01-20T18:24:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal after data gap
2015-01-23T10:00:00Z,2015-01-23T16:00:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Bad data
2015-02-09T14:00:00Z,2015-02-09T14:20:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Bad data
2015-02-20T13:09:00Z,2015-02-20T13:45:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Bad data
2015-02-20T20:08:08Z,2015-02-20T20:41:31Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atmospheric contamination
2015-03-19T10:00:00Z,2015-03-19T15:00:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Bad data
2015-03-23T07:30:00Z,2015-03-23T08:50:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Bad data
2015-03-23T14:34:34Z,2015-03-23T14:36:41Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atmospheric contamination
2015-03-30T17:00:00Z,2015-03-30T19:00:00Z,V:6 385.29,NA,2018-08-13T21:27:14Z,Nick,Bad Cal.
2015-03-30T19:16:13Z,2015-04-30T23:59:50Z,V:6 385.29,NA,2018-08-13T21:27:14Z,Ryan,Tank drifts like crazy
2015-03-31T15:20:00Z,2015-03-31T21:25:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Sudden Drop in cals.
2015-03-31T18:18:20Z,2015-03-31T18:23:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Cal way low
2015-04-28T15:07:00Z,2015-04-28T15:16:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Wrong MIU valve temporarily set for flush.
2015-04-28T21:06:00Z,2015-04-28T21:16:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Bad set of two cals.
2015-04-28T21:09:00Z,2015-04-28T21:15:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2015-05-01T00:00:00Z,2015-06-19T14:10:00Z,all,NA,2018-08-13T21:27:14Z,Ben,Leak found that compromises historic data.
2015-06-22T13:12:00Z,2015-06-22T13:20:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal
2015-08-13T14:36:00Z,2015-08-13T20:45:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Jump in cals
2015-08-24T14:00:00Z,2015-08-24T19:50:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Bad set of cals.
2015-08-24T19:00:00Z,2015-08-28T14:58:00Z,~437.83~1.888,NA,2018-08-13T21:27:14Z,Nick,Cal goes to zero for several periods.
